deviceHubId,plant_stage,airHumidityPercent,soilHumidityPercent,celciusGradeTemperature,precipitationDetected,nitrogen,phosphorus,potassium,condition_label,createdAt,altitudeMasl
SJ-DEV-1448,plantula,81,72,20.5,0,18,25,28,n_deficiency_severe,2025-05-21T01:31:00Z,1383.2267678460694
SJ-DEV-801,plantula,79,74,18.9,0,40,24,31,optimal_plantula,2025-05-18T09:33:00Z,1120.3662995876764
SJ-DEV-1192,plantula,86,80,20.4,1,20,29,32,n_deficiency_severe,2025-05-17T06:38:00Z,903.7457350292935
SJ-DEV-1480,plantula,81,79,19.4,1,19,24,29,n_deficiency_severe,2025-05-10T11:19:00Z,1355.4879812245622
SJ-DEV-744,plantula,83,78,21.1,0,14,28,25,n_deficiency_severe,2025-05-21T06:17:00Z,1369.634498681882
SJ-DEV-449,plantula,83,29,21.4,0,31,24,33,water_deficit_plantula,2025-05-13T14:39:00Z,1191.1137865294745
SJ-DEV-734,plantula,81,73,19.4,1,36,29,35,optimal_plantula,2025-05-17T23:11:00Z,1235.7817407439925
SJ-DEV-1478,plantula,83,34,19.9,0,35,26,32,water_deficit_plantula,2025-05-14T02:53:00Z,941.969113418542
SJ-DEV-1057,plantula,82,42,18.3,0,40,25,32,water_deficit_plantula,2025-05-24T14:05:00Z,1283.2404663958982
SJ-DEV-900,plantula,81,75,19.7,0,32,32,32,optimal_plantula,2025-05-14T07:58:00Z,1018.4048876815589
SJ-DEV-393,plantula,77,77,19.9,0,37,30,35,optimal_plantula,2025-05-04T11:53:00Z,915.407010863305
SJ-DEV-208,plantula,80,48,20.7,0,35,29,27,water_deficit_plantula,2025-05-15T18:33:00Z,1294.3863586181417
SJ-DEV-1379,plantula,83,34,19.6,0,36,22,30,water_deficit_plantula,2025-05-24T21:00:00Z,1073.0444827985616
SJ-DEV-683,plantula,82,79,20.3,1,13,26,28,n_deficiency_severe,2025-05-03T16:02:00Z,1211.6407375195843
SJ-DEV-638,plantula,78,74,19.4,0,14,14,36,n_deficiency_severe,2025-05-04T23:51:00Z,1207.9078475518077
SJ-DEV-1097,plantula,86,79,18.8,1,21,22,36,n_deficiency_severe,2025-05-05T06:31:00Z,974.2773193541437
SJ-DEV-648,plantula,81,77,20.8,0,32,23,36,optimal_plantula,2025-05-28T04:41:00Z,991.5453237049658
SJ-DEV-1130,plantula,83,28,20.6,0,41,23,27,water_deficit_plantula,2025-05-29T00:25:00Z,957.2064848443438
SJ-DEV-219,plantula,81,30,22.2,0,29,27,35,water_deficit_plantula,2025-05-16T16:12:00Z,907.3093902434546
SJ-DEV-330,plantula,83,36,20.2,0,46,24,25,water_deficit_plantula,2025-05-16T01:44:00Z,1143.3757703023791
SJ-DEV-1216,plantula,82,46,18.8,0,36,25,30,water_deficit_plantula,2025-05-25T22:37:00Z,1382.4507804581078
SJ-DEV-835,plantula,80,73,18.2,0,12,27,28,n_deficiency_severe,2025-05-27T00:42:00Z,932.281140488593
SJ-DEV-882,plantula,82,32,19.6,0,30,29,33,water_deficit_plantula,2025-05-28T00:31:00Z,1170.544092775565
SJ-DEV-582,plantula,78,74,20.0,1,32,24,29,optimal_plantula,2025-05-06T13:47:00Z,1132.9492795041547
SJ-DEV-560,plantula,87,74,20.0,0,16,24,39,n_deficiency_severe,2025-05-03T09:35:00Z,1200.7317247805258
SJ-DEV-448,plantula,82,78,19.7,0,37,21,32,optimal_plantula,2025-05-02T19:49:00Z,944.4644149953311
SJ-DEV-255,plantula,77,76,20.3,1,35,24,35,optimal_plantula,2025-05-15T20:09:00Z,1189.5013430936833
SJ-DEV-1358,plantula,78,77,20.3,0,34,23,35,optimal_plantula,2025-05-02T01:31:00Z,1034.792751909724
SJ-DEV-241,plantula,79,46,20.4,0,34,17,31,water_deficit_plantula,2025-05-19T00:45:00Z,1178.2162802781077
SJ-DEV-720,plantula,83,78,19.7,0,14,17,31,n_deficiency_severe,2025-05-24T08:07:00Z,1222.3171170891414
SJ-DEV-1222,plantula,80,78,21.3,0,19,24,24,n_deficiency_severe,2025-05-09T01:47:00Z,1140.5181856832592
SJ-DEV-1014,plantula,85,70,18.8,0,17,27,32,n_deficiency_severe,2025-05-15T18:10:00Z,1077.6195737214916
SJ-DEV-573,plantula,84,82,19.3,1,17,21,30,n_deficiency_severe,2025-05-31T12:11:00Z,1024.5760606806045
SJ-DEV-641,plantula,78,74,20.0,0,36,28,33,optimal_plantula,2025-05-04T09:39:00Z,1366.7577490211734
SJ-DEV-1030,plantula,83,74,20.6,0,16,28,39,n_deficiency_severe,2025-05-11T04:46:00Z,1126.6940097382467
SJ-DEV-1040,plantula,79,76,20.1,0,18,26,37,n_deficiency_severe,2025-05-29T03:05:00Z,1165.0806034557952
SJ-DEV-521,plantula,86,77,20.6,0,12,31,26,n_deficiency_severe,2025-05-14T08:08:00Z,909.6497831548584
SJ-DEV-197,plantula,82,84,20.4,1,19,27,34,n_deficiency_severe,2025-05-13T03:06:00Z,1154.050962889896
SJ-DEV-359,plantula,78,74,19.8,0,25,28,28,optimal_plantula,2025-05-31T19:54:00Z,902.8901187088716
SJ-DEV-648,plantula,81,75,19.3,0,38,21,28,optimal_plantula,2025-05-08T10:09:00Z,971.8842137977977
SJ-DEV-1368,plantula,80,77,20.5,0,42,20,36,optimal_plantula,2025-05-21T10:02:00Z,1136.4134626737032
SJ-DEV-109,plantula,84,75,18.3,0,17,22,33,n_deficiency_severe,2025-05-17T07:12:00Z,1088.673720386298
SJ-DEV-1455,plantula,86,77,18.7,0,13,27,21,n_deficiency_severe,2025-05-30T14:37:00Z,927.0875993230715
SJ-DEV-417,plantula,80,50,19.9,0,28,22,31,water_deficit_plantula,2025-05-22T12:07:00Z,1193.7642540655347
SJ-DEV-1453,plantula,85,76,19.6,0,18,28,34,n_deficiency_severe,2025-05-09T14:28:00Z,982.0016118709806
SJ-DEV-924,plantula,87,76,19.9,0,17,24,37,n_deficiency_severe,2025-05-16T09:25:00Z,1178.665118720734
SJ-DEV-1394,plantula,87,80,19.8,0,21,27,32,n_deficiency_severe,2025-05-05T00:25:00Z,972.1228608009542
SJ-DEV-570,plantula,81,77,21.3,1,17,24,30,n_deficiency_severe,2025-05-30T15:23:00Z,1368.6535423481123
SJ-DEV-914,plantula,79,77,20.7,1,43,29,33,optimal_plantula,2025-05-19T15:00:00Z,1285.4899857598875
SJ-DEV-321,plantula,81,73,19.6,0,30,29,29,optimal_plantula,2025-05-24T10:53:00Z,1378.4665611747027
SJ-DEV-1464,plantula,80,32,21.9,0,30,29,34,water_deficit_plantula,2025-05-21T20:53:00Z,970.6138822082497
SJ-DEV-641,plantula,82,40,20.3,0,34,24,37,water_deficit_plantula,2025-05-15T22:33:00Z,1052.6963541438492
SJ-DEV-1082,plantula,83,35,20.1,0,34,27,34,water_deficit_plantula,2025-05-04T17:27:00Z,919.7948121139808
SJ-DEV-416,plantula,77,81,21.1,0,22,27,30,n_deficiency_severe,2025-05-15T01:35:00Z,1038.391847395846
SJ-DEV-048,plantula,84,75,19.8,0,13,28,39,n_deficiency_severe,2025-05-02T17:06:00Z,1303.2562525578019
SJ-DEV-1370,plantula,81,75,19.0,0,35,25,33,optimal_plantula,2025-05-28T04:52:00Z,988.671517639127
SJ-DEV-209,plantula,83,75,20.2,0,13,24,22,n_deficiency_severe,2025-05-31T01:38:00Z,977.2852573553948
SJ-DEV-340,plantula,79,76,19.2,1,45,27,37,optimal_plantula,2025-05-13T23:28:00Z,1377.3593278511976
SJ-DEV-1275,plantula,81,72,19.7,0,16,24,23,n_deficiency_severe,2025-05-03T22:34:00Z,977.2757000445215
SJ-DEV-001,plantula,80,75,19.3,0,38,20,34,optimal_plantula,2025-05-29T06:24:00Z,1316.9446470756159
SJ-DEV-805,plantula,80,34,20.3,0,34,23,38,water_deficit_plantula,2025-05-23T08:27:00Z,920.5314031359037
SJ-DEV-1444,plantula,85,81,19.0,1,18,26,35,n_deficiency_severe,2025-05-18T05:47:00Z,1093.091764167914
SJ-DEV-939,plantula,85,74,19.7,0,13,28,34,n_deficiency_severe,2025-05-19T08:25:00Z,1074.7961509818463
SJ-DEV-463,plantula,83,78,20.1,0,13,24,35,n_deficiency_severe,2025-05-02T06:02:00Z,1070.853896375227
SJ-DEV-710,plantula,82,46,20.2,0,38,25,38,water_deficit_plantula,2025-05-15T10:34:00Z,1308.2315283571152
SJ-DEV-1249,plantula,90,75,18.4,0,13,23,34,n_deficiency_severe,2025-05-03T18:29:00Z,1137.967454065864
SJ-DEV-001,plantula,82,74,19.3,1,18,25,33,n_deficiency_severe,2025-05-25T15:15:00Z,1291.4451447612018
SJ-DEV-1245,plantula,84,34,20.1,0,34,29,30,water_deficit_plantula,2025-05-02T21:40:00Z,1135.4200626544225
SJ-DEV-466,plantula,80,73,20.7,0,34,28,24,optimal_plantula,2025-05-30T13:52:00Z,1308.6720034290709
SJ-DEV-531,plantula,81,75,20.7,0,31,24,33,optimal_plantula,2025-05-21T16:52:00Z,1340.783799327803
SJ-DEV-265,plantula,82,44,19.2,0,38,24,30,water_deficit_plantula,2025-05-01T00:31:00Z,1119.7981988398199
SJ-DEV-1031,plantula,78,76,20.3,0,34,24,30,optimal_plantula,2025-05-30T12:09:00Z,1290.5317988962406
SJ-DEV-1497,plantula,79,74,19.9,0,18,29,34,n_deficiency_severe,2025-05-22T20:40:00Z,1307.3705801288488
SJ-DEV-688,plantula,82,76,20.4,0,33,26,31,optimal_plantula,2025-05-22T00:57:00Z,1047.8394578212537
SJ-DEV-001,plantula,83,75,19.3,1,21,25,35,n_deficiency_severe,2025-05-27T18:44:00Z,961.938337153453
SJ-DEV-603,plantula,84,75,20.5,0,17,25,28,n_deficiency_severe,2025-05-15T12:04:00Z,992.8109303724942
SJ-DEV-1190,plantula,81,49,18.2,0,33,22,27,water_deficit_plantula,2025-05-08T13:50:00Z,1118.0298967997073
SJ-DEV-105,plantula,83,35,18.7,0,37,24,33,water_deficit_plantula,2025-05-06T19:16:00Z,959.733703505606
SJ-DEV-1031,plantula,82,29,21.6,0,31,25,33,water_deficit_plantula,2025-05-01T12:41:00Z,1164.8995708789416
SJ-DEV-369,plantula,78,77,19.8,0,33,26,37,optimal_plantula,2025-05-27T05:31:00Z,1314.7105807087212
SJ-DEV-051,plantula,84,73,20.1,0,14,27,35,n_deficiency_severe,2025-05-31T23:59:00Z,1142.6005764932174
SJ-DEV-904,plantula,86,77,19.3,0,15,32,41,n_deficiency_severe,2025-05-11T08:12:00Z,1308.867000850902
SJ-DEV-1095,plantula,83,74,19.9,1,39,23,26,optimal_plantula,2025-05-23T16:37:00Z,1228.195811269709
SJ-DEV-1269,plantula,81,77,20.1,0,13,31,32,n_deficiency_severe,2025-05-30T10:00:00Z,1220.5215155758451
SJ-DEV-438,plantula,81,38,18.9,0,32,24,29,water_deficit_plantula,2025-05-21T02:52:00Z,1072.67446260213
SJ-DEV-041,plantula,81,78,20.0,0,15,23,29,n_deficiency_severe,2025-05-17T03:23:00Z,1251.3294745241624
SJ-DEV-1219,plantula,83,74,18.2,0,14,26,35,n_deficiency_severe,2025-05-07T10:27:00Z,1304.9702918656014
SJ-DEV-981,plantula,83,81,19.9,0,19,26,28,n_deficiency_severe,2025-05-04T19:35:00Z,978.5847923920088
SJ-DEV-098,plantula,82,73,20.1,0,16,20,38,n_deficiency_severe,2025-05-20T07:22:00Z,1353.9953095577753
SJ-DEV-1327,plantula,80,78,19.7,1,38,24,32,optimal_plantula,2025-05-20T12:24:00Z,1034.6651836184092
SJ-DEV-643,plantula,85,79,22.3,0,22,26,29,n_deficiency_severe,2025-05-07T14:26:00Z,977.4232478735081
SJ-DEV-1343,plantula,82,72,19.2,0,14,23,25,n_deficiency_severe,2025-05-26T00:41:00Z,1320.2395825972462
SJ-DEV-097,plantula,85,75,20.0,0,18,20,34,n_deficiency_severe,2025-05-16T03:33:00Z,1260.063989920503
SJ-DEV-1352,plantula,83,43,20.3,0,39,24,33,water_deficit_plantula,2025-05-17T09:38:00Z,1296.781197886876
SJ-DEV-887,plantula,83,70,20.2,1,14,23,33,n_deficiency_severe,2025-05-02T11:53:00Z,1123.3353321279737
SJ-DEV-399,plantula,83,75,21.4,0,19,28,33,n_deficiency_severe,2025-05-19T18:45:00Z,935.3869426194284
SJ-DEV-1177,plantula,82,76,20.0,0,40,18,29,optimal_plantula,2025-05-21T20:19:00Z,1097.6215251317249
SJ-DEV-492,plantula,78,74,20.2,0,39,24,28,optimal_plantula,2025-05-15T12:40:00Z,923.8676477019927
SJ-DEV-212,plantula,82,73,19.9,0,15,26,32,n_deficiency_severe,2025-05-27T13:03:00Z,1043.0667519696137
SJ-DEV-1203,plantula,82,75,20.6,0,36,23,27,optimal_plantula,2025-05-05T17:58:00Z,918.9972975082381
SJ-DEV-189,plantula,78,77,20.3,1,19,28,32,n_deficiency_severe,2025-05-09T21:25:00Z,1153.357420972072
SJ-DEV-1218,plantula,82,45,19.2,0,41,31,31,water_deficit_plantula,2025-05-22T17:08:00Z,943.8338994711463
SJ-DEV-462,plantula,80,74,20.0,0,38,27,36,optimal_plantula,2025-05-18T20:57:00Z,1366.4128234199025
SJ-DEV-607,plantula,80,75,19.0,0,12,24,33,n_deficiency_severe,2025-05-29T14:55:00Z,1249.693644785898
SJ-DEV-1131,plantula,78,77,19.8,0,39,25,36,optimal_plantula,2025-05-31T03:03:00Z,1058.4930133284054
SJ-DEV-1098,plantula,80,33,19.1,0,31,26,32,water_deficit_plantula,2025-05-25T03:52:00Z,1372.5255350054583
