createdAt,plant_stage,air_humidity_percent,soil_humidity_percent,celcius_grade_temperature,precipitation_detected,nitrogen_mg_kg,phosphorus_mg_kg,potassium_mg_kg,altitude_masl,deviceHubId,sectionId,class_intent
2024-09-08 04:00:00,floracion,60.79,60.63,19.42,0,34.23,15.96,185.38,1819,HUB-021,SEC-031,optimal_*
2024-12-23 14:00:00,fructificacion,60.19,52.37,21.71,0,22.08,10.0,194.7,1229,HUB-007,SEC-014,optimal_*
2024-04-09 01:00:00,vegetativo,59.87,21.29,20.64,0,26.83,17.54,229.99,1879,HUB-011,SEC-024,water_deficit_vegetativo
2024-09-11 15:00:00,cosecha,90.59,64.68,19.58,1,30.82,14.11,170.89,2093,HUB-017,SEC-002,optimal_*
2024-08-08 05:00:00,fructificacion,63.77,61.31,22.13,0,34.5,12.14,205.83,1892,HUB-016,SEC-031,optimal_*
2024-04-02 23:00:00,fructificacion,59.03,19.75,20.45,0,34.98,13.84,165.98,1866,HUB-016,SEC-049,water_deficit_fructificacion
2024-07-20 05:00:00,fructificacion,53.98,49.95,22.84,0,33.47,13.53,213.29,1521,HUB-010,SEC-024,p_deficiency_moderate
2024-07-13 11:00:00,fructificacion,84.02,51.47,20.39,1,27.79,18.96,80.91,1748,HUB-007,SEC-066,k_deficiency_severe
2024-08-01 15:00:00,cosecha,62.14,45.14,22.01,0,30.63,13.48,201.09,1620,HUB-006,SEC-046,optimal_*
2024-07-28 12:00:00,floracion,85.98,62.44,17.05,1,30.84,6.21,201.82,1925,HUB-021,SEC-045,p_deficiency_severe
2024-03-07 15:00:00,maduracion,64.62,54.65,23.73,0,21.76,18.51,205.93,1748,HUB-016,SEC-054,n_deficiency_moderate
2024-04-02 01:00:00,vegetativo,65.46,13.0,22.12,0,40.05,18.94,199.86,1720,HUB-011,SEC-030,water_deficit_vegetativo
2024-11-28 14:00:00,floracion,45.37,72.69,22.34,0,10.39,15.75,140.36,1664,HUB-019,SEC-020,n_deficiency_severe
2024-07-31 17:00:00,plantula,44.14,57.95,24.26,0,24.0,14.26,209.68,1143,HUB-021,SEC-069,n_deficiency_moderate
2024-05-20 00:00:00,floracion,78.84,63.17,24.86,1,27.77,16.45,219.02,1250,HUB-009,SEC-018,optimal_*
2024-09-08 05:00:00,floracion,51.95,25.36,23.98,0,30.62,17.03,199.85,1288,HUB-003,SEC-058,water_deficit_floracion
2024-08-25 10:00:00,vegetativo,74.42,52.67,20.39,1,29.26,18.49,260.0,1883,HUB-017,SEC-024,k_excess
